Stock,AsOf,TargetPosition,Recommendation,TradeNow,LastSignal,Score,AvgVolume,DollarVolume
ONCO.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,62.588,1816504.975609756,4995388.682926829
CINPHA.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,61.224,98481.31730769231,1664334.2249323588
PRESRV.ST,2026-02-18 00:00:00+01:00,0,Hold,True,-1,60.522,1763.733583489681,102296.5478424015
BTC-B.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,59.753,4826.846153846154,523230.1304421059
WPTG-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,59.2,62564.74716981132,1104267.763680613
OPTI.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,58.633,153107.41651031896,282942.5133038292
GIGA.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,58.614,25619.812865497075,60206.55779062238
INDU-A.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,58.251,117621.60600375234,56599518.24481624
SBB-D.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,56.124,1120972.2420262664,10060726.299802715
CATE.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,55.429,72617.99249530956,33578559.28660609
ENITY.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,54.568,182804.12790697673,14425074.402588245
ALIG.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,54.434,82276.42213883677,10416194.917232879
INDU-C.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,54.332,353196.1651031895,169852033.6423855
SECARE.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,53.885,250406.11257035646,6084868.34441496
TRUE-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,53.775,1217318.1144465292,12501857.592609866
CLAV.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,53.315,1325075.6397748592,6148350.791638662
PEAB-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,50.773,343596.0487804878,34874998.951219514
SES.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,50.518,3430396.904315197,891903.162407137
AQ.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,50.516,121258.33771106941,21972010.4231947
CAMX.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,50.308,108447.06003752345,55850235.91932458
ALZCUR.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,50.157,93954.32082551594,177103.89386007932
NANOFS.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,50.038,25500.86116322702,203109.25595779493
EPI-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,49.121,381531.53095684806,85157836.54522666
CHECK.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,48.455,19826.99812382739,52343.27712683919
MYCR.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,48.388,220285.6210131332,43603336.36114628
SWED-A.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,47.337,2294811.7410881803,806626326.9924954
PLAZ-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,46.662,139053.11257035646,10234308.873000024
CLA-B.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,46.496,524387.9399624765,26560249.95925193
IVSO.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,46.266,73687.0712945591,23579862.81425891
INDT.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,45.676,298201.2232645403,66975996.56529158
K2A-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,42.191,69796.9756097561,330488.68883109675
PLEJD.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,41.996,24005.148217636022,21196545.876172606
CEDER.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,41.764,12737.906191369606,496778.3414634146
BRAV.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,40.962,393579.01313320827,40656713.25776824
EPI-A.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,40.649,1099638.339587242,284586388.86185867
INTEG-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,40.109,101878.00938086303,802798.7255802136
SECT-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,39.116,140520.09943714822,25391981.539459374
TREL-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,-1,38.91,419343.5196998124,163669770.61989734
NCC-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,38.404,213353.82176360226,46980510.90124103
G2M.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,38.034,74916.27767354596,527410.5919639344
SHB-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,37.776,127697.63789868668,30979447.733625915
APOTEA.ST,2026-02-18 00:00:00+01:00,0,Hold,True,-1,37.497,275484.6722972973,15867916.703968072
VSD-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,36.825,88009.86116322702,62486.99953740444
BEIA-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,36.026,52120.32645403377,12482818.185741087
FLUI.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,35.702,11277.93058161351,108268.13788567878
BILL.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,35.666,516860.9662288931,41555622.47347025
BURE.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,35.658,66324.87617260788,12774171.555659195
LIAB.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,35.464,130341.13883677298,22392608.049927186
SBB-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,34.901,22178600.932457786,94746979.54545978
NOBI.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,34.518,1519149.3789868667,4007177.428289623
SOLT.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,34.45,3070402.8292682925,226288.6987290462
SAGA-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,32.677,357773.60787992494,62252607.771106936
FAG.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,32.44,111532.88930581613,3580205.576531015
ALIF-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,32.309,130382.30769230769,17992758.46153846
TROAX.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,31.905,62647.050656660416,6039175.778893877
